Item ID,Item Name,Item Number
-1,reg_time,2018-05-09 07:15:28
item-10,Dummy Core,497
item-31,Basic Training Data,6405
item-32,Intermediate Training Data,3630
item-33,Advanced Training Data,1641
-1,kalina_level,30
-1,kalina_favor,137104
item-1,T-Doll Contract,2181
item-2,Equipment Contract,1153
item-3,Quick Production Contract,1502
item-4,Quick Repair Contract,12818
item-5,Daily Pause Permit,1
item-7,Oath Certificate,1
item-8,Quick Training Contract,83
item-9,Enhancement Capsule,1295
item-11,Key Card,0
item-12,Points,0
item-13,Name Change Card,1
item-14,Original Sample,3430
item-15,Pure Sample,933
item-16,Quick Analysis Contract,888
item-17,Data Patch,78
item-41,Token,1391
item-42,Exchange Ticket,0
item-43,Black Card,11
item-44,Calibration Ticket,522
item-45,Memory Fragment,3769
item-46,Special Combat Report,14059
item-47,Theater Material,2
item-50,Universal Parts,3740
item-51,New Type Fire-Control Component,37
item-53,Gachapon Ticket,22
item-100,Elite Griffin Combat Medal,11
item-101,Combat Ranking Medal,132
item-103,Challenger Medal,34
item-104,Elite Adventurer Medal,7
item-105,Sangvis-Griffin Coalition Medal,5
item-106,Chess Champion Medal,96
item-107,Wind-Calmer's Medal,1
item-108,Hell-Walker's Medal,1
item-109,8th Theater Pioneer Medal,1
item-110,8th Theater Conqueror Medal,1
item-304,Central Data: M2,0
item-305,Central Data: AT4,0
item-306,Core Data: QLZ-04,5
item-307,Central Data: Mk 153,15
item-308,Core Data: PP93,20
item-506,Battery,4960
item-507,Surplus EXP,27024
item-508,Friendship Points,14740
item-509,Fairy Command,116
item-510,Combat Sim Extra Energy,20
item-512,Supernova Kernel,70
item-513,Dark Star Kernel,65400
item-514,Petri Dish,2178
item-515,Basic Training Keycode,17059
item-516,Advanced Training Keycode,3326
item-517,Specified Equipment Contract,0
item-519,HOC General Data,186
item-520,Frag Grenade,269
item-521,Stun Grenade,8
item-522,Turret,16
item-523,G&K,1
item-524,Goliath Projectile,0
item-525,Quick Auto-Battle Contract,1512
item-601,Infinite Surprise Dye,27
item-602,Colorful Specified Dye,0
item-603,Potential Energy,0
item-604,Electronic Impulse,3
item-605,Aid Commission,12
item-606,Transfer Catalyst,760
item-1001,AAT-52 Icon,1
item-1002,G43 Icon,1
item-1003,IDW Icon,1
item-1004,L85A1 Icon,1
item-1005,M1911 Icon,1
item-1006,PPSh-41 Icon,1
item-1007,M38 Icon,1
item-1008,AK-47 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1011,Skorpion Icon,1
item-1012,Serdyukov Icon,1
item-1013,AR15 Icon,1
item-1014,M1918 Icon,1
item-1015,Gr MP5 Icon,1
item-1016,PTRD Icon,1
item-1017,UMP9 Icon,1
item-1018,Gr G11 Icon,1
item-1019,OTs-14 Icon,1
item-1020,Suomi Icon,1
item-1026,M4A1 Celebration Icon,1
item-1031,Bren Icon,1
item-1032,FMG-9 Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1038,OTs-12 Icon,1
item-1039,PPS-43 Icon,1
item-1040,RMB-93 Icon,1
item-1041,STEN Mk II Icon,1
item-1042,SV-98 Icon,1
item-1043,Gr G36 Icon,1
item-1044,SAA Icon,1
item-1045,SPAS-12 Icon,1
item-1046,SVD Icon,1
item-1047,UMP45 Icon,1
item-1048,Am KSG Icon,1
item-1049,M99 Icon,1
item-1056,UMP40 Icon,1
item-1057,Background: Deep Dive,1
item-1058,FF FNP9 Icon,1
item-1059,Gr G3 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1063,Spectre M4 Icon,1
item-1064,SVT-38 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1068,StG44 Icon,1
item-1069,Tokarev Icon,1
item-1070,AS Val Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1073,Springfield Icon,1
item-1074,Stechkin Icon,1
item-1075,Kar98k Icon,1
item-1076,M950A Icon,1
item-1077,Thompson Icon,1
item-1083,Background: Monitoring Room,1
item-1118,Narcissus,1
item-1133,Literary Girl,1
item-1213,Base Background: A Corner on Christmas Eve,1
item-1217,Gunshot in the Snow,1
item-1222,Icon: Tactical Ferret,1
item-1223,Icon: Griffin Christmas Emblem,1
item-1224,Icon: S.F. Christmas Emblem,1
item-1225,Icon: Mysterious Santa Claus,1
item-1226,ID Card: A Christmas Meeting with Nature,1
item-1228,Icon: Official 4-Koma vol.1,1
item-1229,Icon: Official 4-Koma vol.2,1
item-1230,Icon: Official 4-Koma vol.3,1
item-1237,Icon: Reunion,1
item-1238,ID Card: Coercion,1
item-1248,Icon: Official 4-Koma vol.4,1
item-1260,ID Card: Easter Warning,1
item-1261,Icon: Easter Bunny,1
item-1262,M1911 Neural Upgrade Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1265,ST AR-15 Neural Upgrade Icon,1
item-1268,M1895 Neural Upgrade Icon,1
item-1269,Mosin-Nagant Neural Upgrade Icon,1
item-1270,M1918 Neural Upgrade Icon,1
item-1271,MP-446 Neural Upgrade Icon,1
item-1276,Icon: Black Rider,1
item-1277,Icon: Wind Speaker,1
item-1278,Icon: Fallen Angel,1
item-1279,Icon: White Doll,1
item-1280,Icon: Cat Warrior,1
item-1281,Icon: El Clear,1
item-1282,Icon: El Fail,1
item-1283,Icon: Queen of Pocket City,2
item-1286,ID Card: Big Adventure in Pocket City,1
item-1287,Icon: Official 4-koma - VOL. 5,1
item-1293,White Queen,1
item-1304,ID Card: Pippa's Song,1
item-1305,Icon: Official 4-koma - VOL. 6,1
item-1313,Icon: Metal Zongzi,1
item-1314,Icon: Zongzi Cat,1
item-1318,SAA Neural Upgrade Icon,1
item-1319,SV-98 Neural Upgrade Icon,1
item-1330,Icon: Kitsune Mask,1
item-1331,Base Background:Fireworks of Summer,1
item-1332,Icon: Reservoir Dog,1
item-1333,ID Card: Final Flight,1
item-1344,M4 SOPMOD II Neural Upgrade Icon,1
item-1345,UMP45 Neural Upgrade Icon,1
item-1348,Background: Midsummer Beach,1
item-1357,Icon: Trick or Dinergate,1
item-1358,ID Card: Halloween Fun,1
item-1359,Background: Survivor's Halloween,1
item-1367,M14 Neural Upgrade Icon,1
item-1368,Gr G36 Neural Upgrade Icon,1
item-1369,LWMMG Neural Upgrade Icon,1
item-1388,Background: Winter is Coming,1
item-1389,Icon: Official 4-koma - VOL. 7,1
item-1403,Icon: Official 4-koma - VOL. 8,1
item-1405,ID Card: Sangvis Presence,1
item-1406,Icon: Fatal Freedom,1
item-1416,Icon: Brandy Chocolate Dog,1
item-1417,Icon: Express Postal Pigeon,1
item-1418,ID Card: Sanctuary Oath,1
item-1419,Icon: Official 4-koma - VOL. 9,1
item-1430,Icon: Official 4-koma - VOL. 10,1
item-1437,1st Anniversary Icon,1
item-1445,Micro Uzi Neural Upgrade Icon,1
item-1446,AS Val Neural Upgrade Icon,1
item-1447,StG44 Neural Upgrade Icon,1
item-1459,Icon: Beer Wave,1
item-1460,Icon: Crimson Fist Grand Slam,1
item-1461,Icon: Kitty Friends Won't Leave,1
item-1462,Icon: A Toast To This Damn World,1
item-1463,Icon: Dear Becky,1
item-1464,Icon: Super-Shorty Squad Leader,1
item-1465,ID Card: Welcome to VA-11 Hall-A,1
item-1478,Icon: Summer Protector,1
item-1479,ID Card: Tacticool Watermelon Festival,1
item-1491,Icon: Lost Queen-of-the-Night,1
item-1492,ID: Train Station of the Beginning,1
item-1493,MP5 Neural Upgrade Icon,1
item-1494,416 Neural Upgrade Icon,1
item-1495,Type88 Neural Upgrade Icon,1
item-1496,UMP9 Neural Upgrade Icon,1
item-1502,Background: Phantasmal Sea of Flowers,1
item-1513,Icon: Eulogizer,1
item-1514,Icon: Possessed Night Face-off,1
item-1515,ID Card: When Madness Descends,1
item-1525,Icon: Gourmet of Doom,1
item-1540,Icon: "Merry X'mas WOOF!",1
item-1541,Icon: "I want hugs!",1
item-1542,ID Card: An Embrace through Time and Space,1
item-1550,Stechkin Neural Upgrade Icon,1
item-1553,NTW-20 Neural Upgrade Icon,1
item-1555,Background: The Cozy Snowy Yard,1
item-1563,ID Card: Rider in the Snow,1
item-1566,Icon: Split-Second,1
item-1567,ID: Impending Boom,1
item-1605,Affections Behind the Bouquet,1
item-1611,Icon: Tsavorite Girl,1
item-1612,Icon: The Eye of Storytelling,1
item-1613,ID: The Edge of Time,1
item-1614,Background: Twilight City,1
item-1615,ID Card: Black Canyon,1
item-1616,M950A Neural Upgrade Icon,1
item-1617,M500 Neural Upgrade Icon,1
item-1618,Gsh-18 Neural Upgrade Icon,1
item-1619,KSVK Neural Upgrade Icon,1
item-1626,Icon: 2nd Anniversary Icon,1
item-1669,ID Card: BBQ by the Azure Sea,1
item-1670,Icon: Tropical Mojito,1
item-1671,Icon: Sunset of Day 51,1
item-1673,Icon: Soothing Vanilla,1
item-1674,Icon: Girls' Sorcerer,1
item-1675,Icon: Dessert Taster,1
item-1676,Icon: Sleeping Pumpkin Princess,1
item-1677,Icon: Honey Sunlight,1
item-1678,ID: Seed of All Wishes,1
item-1679,ID: Fruit of Doubt,1
item-1695,Background: Starry Night Courtyard,1
item-1696,Background: Sunlit Courtyard,1
item-1703,Icon: Constructive Pattern,1
item-1704,Icon: Tipped Scales,1
item-1705,ID: Rebels' Smoke Signal,1
item-1706,Background: Chloris' Floral Path,1
item-1707,Gr G11 Neural Upgrade Icon,1
item-1708,Super SASS Neural Upgrade Icon,1
item-1709,RO635 Neural Upgrade Icon,1
item-1741,Icon: Silent Farewell,1
item-1742,Icon: Life of Deception,1
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1768,PP-19 Neural Upgrade Icon,1
item-1769,M1897 Neural Upgrade Icon,1
item-1776,ID: Girls by the Hearth,1
item-1801,Type 56R Neural Upgrade Icon,1
item-1802,Welrod MkII Neural Upgrade Icon,1
item-1806,Icon: Sunderer,1
item-1807,Icon: Weaver of Fate,1
item-1808,Icon: Agent "U",1
item-1809,Icon: Lone Shadow,1
item-1810,Icon: Hidden Edge,1
item-1811,Icon: Ephemeral Dream,1
item-1812,Icon: Worldliness,1
item-1813,ID: Gentle Morning Light,1
item-1814,ID: Advent,1
